Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6862.80 Mobile Safari/537.36 Telegram-Android/11.2.5 (Realme RMX3312; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6869.43 Mobile Safari/537.36 Telegram-Android/11.1.9 (Google GB7N6; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6837.83 Mobile Safari/537.36 Telegram-Android/11.0.5 (Samsung SM-S908B; Android 14; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6741.88 Mobile Safari/537.36 Telegram-Android/11.1.0 (Realme RMX3312; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6883.87 Mobile Safari/537.36 Telegram-Android/11.0.3 (vivo V2151; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 14; P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6873.94 Mobile Safari/537.36 Telegram-Android/11.1.6 (OPPO PERM00; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6710.56 Mobile Safari/537.36 Telegram-Android/11.3.0 (OPPO CPH2457; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6847.42 Mobile Safari/537.36 Telegram-Android/11.0.8 (Infinix X669; Android 14; SDK 35; LOW)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6825.71 Mobile Safari/537.36 Telegram-Android/11.0.0 (OPPO CPH2457; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 13; C) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6881.61 Mobile Safari/537.36 Telegram-Android/11.2.4 (Realme RMX3761; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6754.47 Mobile Safari/537.36 Telegram-Android/11.1.7 (OPPO CPH2457; Android 13; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6886.53 Mobile Safari/537.36 Telegram-Android/11.1.8 (Realme RMX3762; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6703.42 Mobile Safari/537.36 Telegram-Android/11.1.3 (AT&T G998U; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; A) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6707.74 Mobile Safari/537.36 Telegram-Android/11.2.9 (Infinix X6711; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; D) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6860.38 Mobile Safari/537.36 Telegram-Android/11.3.0 (ZTE NX666J; Android 14; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 13; L) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.6861.32 Mobile Safari/537.36 Telegram-Android/11.0.5 (OPPO PDHM00; Android 13; SDK 33; LOW)
Mozilla/5.0 (Linux; Android 14; S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.6801.76 Mobile Safari/537.36 Telegram-Android/11.1.6 (vivo V2218A; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6846.34 Mobile Safari/537.36 Telegram-Android/11.1.3 (Huawei JLN-LX9; Android 13; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6728.97 Mobile Safari/537.36 Telegram-Android/11.2.4 (ASUS ASUS_I002D; Android 14; SDK 34; LOW)
Mozilla/5.0 (Linux; Android 14; T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6830.91 Mobile Safari/537.36 Telegram-Android/11.3.0 (Huawei JLN-LX9; Android 14; SDK 35; LOW)
